Key,File,Type,UsedInMainMenu,NoTranslate,english,spanish,Context / Alternate Text
portalBlockName,items,Item,,,Teleport Portal,Portal de Teletransporte,
portalBlockDesc,items,Item,,,"A stone-and-metal frame that links to another portal sharing the same tag. Place two with the same tag to travel instantly between them.","Un marco de piedra y metal que se enlaza con otro portal que comparta el mismo nombre (tag). Coloca dos con el mismo tag para viajar instantaneamente entre ellos.",
portalBlockActiveDesc,items,Item,,,"An active teleport portal, currently linked to its pair.","Un portal de teletransporte activo, actualmente enlazado con su par.",
portalBlockItemName,items,Item,,,Teleport Portal,Portal de Teletransporte,
portalBlockItemDesc,items,Item,,,"Craft at a workbench. Place two portals with the same tag to link them.","Craftealo en una mesa de trabajo. Coloca dos portales con el mismo tag para enlazarlos.",
portalBlock_platformItemName,items,Item,,,Platform Portal,Portal Plataforma,
portalBlock_platformItemDesc,items,Item,,,"Platform-style teleport portal. Craft at a workbench. Place two with the same tag to link them.","Portal de teletransporte estilo plataforma. Craftealo en una mesa de trabajo. Coloca dos con el mismo tag para enlazarlos.",
portalBlock_gridItemName,items,Item,,,Grid Portal,Portal Rejilla,
portalBlock_gridItemDesc,items,Item,,,"Grid-style teleport portal. Craft at a workbench. Place two with the same tag to link them.","Portal de teletransporte estilo rejilla. Craftealo en una mesa de trabajo. Coloca dos con el mismo tag para enlazarlos.",
portalBlock_clawsItemName,items,Item,,,Claw Portal,Portal Garras,
portalBlock_clawsItemDesc,items,Item,,,"Claw-style teleport portal. Craft at a workbench. Place two with the same tag to link them.","Portal de teletransporte estilo garras. Craftealo en una mesa de trabajo. Coloca dos con el mismo tag para enlazarlos.",
portalBlock_cylinderItemName,items,Item,,,Cylinder Portal,Portal Cilíndrico,
portalBlock_cylinderItemDesc,items,Item,,,"Cylinder-style teleport portal. Craft at a workbench. Place two with the same tag to link them.","Portal de teletransporte estilo cilíndrico. Craftealo en una mesa de trabajo. Coloca dos con el mismo tag para enlazarlos.",
portalBlock_wingsItemName,items,Item,,,Wings Portal,Portal Alas,
portalBlock_wingsItemDesc,items,Item,,,"Wings-style teleport portal. Craft at a workbench. Place two with the same tag to link them.","Portal de teletransporte estilo alas. Craftealo en una mesa de trabajo. Coloca dos con el mismo tag para enlazarlos.",
portalBlock_archItemName,items,Item,,,Arch Portal,Portal Arco,
portalBlock_archItemDesc,items,Item,,,"Arch-style teleport portal. Craft at a workbench. Place two with the same tag to link them.","Portal de teletransporte estilo arco. Craftealo en una mesa de trabajo. Coloca dos con el mismo tag para enlazarlos.",
buffPortalTravelName,buffs,Buff,,,Portal Transit,Transito de Portal,
buffPortalTravelDesc,buffs,Buff,,,"You are being pulled through the portal. Movement is frozen briefly.","Estas siendo transportado a traves del portal. El movimiento se congela brevemente.",
portalHudActive,xui,Windows,,,Portal active — linked to '{0}',Portal activo — conectado a '{0}',
portalHudOrphan,xui,Windows,,,Orphan portal — place another portal with tag '{0}',Portal huérfano — coloca otro portal con tag '{0}',
portalHudTagInUse,xui,Windows,,,Tag in use — two portals already exist with that name,Tag en uso — ya existen 2 portales con ese nombre,
portalHudRenamed,xui,Windows,,,Portal renamed to '{0}',Portal renombrado a '{0}',
portalHudCooldown,xui,Windows,,,Portal on cooldown — wait a moment before traveling again,Portal en enfriamiento — espera un momento antes de viajar de nuevo,
portalHudEmptyTag,xui,Windows,,,Tag cannot be empty,El tag no puede estar vacio,
portalHudDestinationMissing,xui,Windows,,,Destination not found — place another portal with tag '{0}',Destino no encontrado — coloca otro portal con tag '{0}',
portalHudTargetLinked,xui,Windows,,,Portal: '{0}',Portal: '{0}',
portalHudTargetOrphan,xui,Windows,,,Portal: '{0}' (no destination yet),Portal: '{0}' (sin destino aun),
portalNoEnergy,xui,Windows,,,Portal has no power — connect a generator,Portal sin energía — conecta un generador,
xuiPortalTagTitle,xui,Windows,,,Name Portal,Nombrar Portal,
xuiPortalTagPlaceholder,xui,Windows,,,Enter portal tag...,Ingresa el tag del portal...,
xuiPortalTagConfirm,xui,Windows,,,Confirm,Confirmar,
xuiPortalTagCancel,xui,Windows,,,Cancel,Cancelar,
xuiPortalTagRenameTitle,xui,Windows,,,Rename Portal,Renombrar Portal,
